person,cand_row,book,juan,sentence,source_file,alias_in_sentence
金日磾,533,漢書,第四十章:霍光金日磾传,上奇焉，即日赐汤沐衣冠，拜为马监，迁侍中、驸马都尉、光禄大夫。,data/raw/mirror/漢書/传/第四十章-霍光金日磾传.txt,
金日磾,1614,漢書,068,上竒焉，即日賜湯沐衣冠，拜爲馬監，遷侍中駙馬都尉光祿大夫。,data/raw/漢書/卷068.txt,
施讎,1668,漢書,088,待詔黃門數入說教侍中，以召賀。,data/raw/漢書/卷088.txt,
梁丘賀,1668,漢書,088,待詔黃門數入說教侍中，以召賀。,data/raw/漢書/卷088.txt,
石顯,1678,漢書,093,天子召見，欲以爲侍中，逡請間言事。,data/raw/漢書/卷093.txt,
董賢,1681,漢書,093,初，長爲侍中，奉兩宮使，親密。,data/raw/漢書/卷093.txt,
董賢,1682,漢書,093,賢寵愛日甚，爲駙馬都尉侍中，出則參乘，入御左右，旬月間賞賜累巨萬，貴震朝廷。,data/raw/漢書/卷093.txt,
王莽,1708,漢書,099上,遷騎都尉光祿大夫侍中，宿衛謹敕，爵位益尊，節操愈謙。,data/raw/漢書/卷099上.txt,
周泽,157,後漢書,第七十五章:儒林列传下,十八年，以病乞身，为侍中骑都尉，卒于官。,data/raw/mirror/後漢書/列传/第七十五章-儒林列传下.txt,
周泽,158,後漢書,第七十五章:儒林列传下,”十八年，拜侍中骑都尉。,data/raw/mirror/後漢書/列传/第七十五章-儒林列传下.txt,
程曾,159,後漢書,第七十五章:儒林列传下,永平初，为侍中、越骑校尉，入讲省内。,data/raw/mirror/後漢書/列传/第七十五章-儒林列传下.txt,
程曾,160,後漢書,第七十五章:儒林列传下,岁余复征，再迁侍中，卒于官。,data/raw/mirror/後漢書/列传/第七十五章-儒林列传下.txt,
程曾,1366,後漢書,79下,永平初，為侍中、越騎校尉，入講省內。,data/raw/後漢書/卷79下.txt,
程曾,1367,後漢書,79下,歲餘复徵，再遷侍中，卒於官。,data/raw/後漢書/卷79下.txt,
张玄,160,後漢書,第七十五章:儒林列传下,岁余复征，再迁侍中，卒于官。,data/raw/mirror/後漢書/列传/第七十五章-儒林列传下.txt,
张玄,1367,後漢書,79下,歲餘复徵，再遷侍中，卒於官。,data/raw/後漢書/卷79下.txt,
许慎,161,後漢書,第七十五章:儒林列传下,迁侍中，出为弘农太守，卒官。,data/raw/mirror/後漢書/列传/第七十五章-儒林列传下.txt,
许慎,1368,後漢書,79下,遷侍中，出為弘農太守，卒官。,data/raw/後漢書/卷79下.txt,
赵苞,164,後漢書,第七十八章:独行列传,征拜侍中，每朝廷大事，侃然正色，百官惮之。,data/raw/mirror/後漢書/列传/第七十八章-独行列传.txt,
赵苞,1377,後漢書,81,征拜侍中，每朝廷大事，侃然正色，百官惮之。,data/raw/後漢書/卷81.txt,
