name_simple,status,in_db,in_card,person_id,dynasty_db,hits,strong,sample_book,sample_juan,sample_sentence,all_books
各千万,拟补_待审,N,N,,,4,0,汉书,卷099下.txt,因賜治廟者司徒、大司空錢各千萬，侍中、中常侍以下皆封。,汉书
名而为,拟补_待审,N,N,,,4,0,后汉书,第二十六章-梁统列传.txt,冒名而为侍中、卿、校尉、郡守、长吏者十余人，皆贪叨凶淫，各遣私客籍属县富人，被以它罪，闭狱掠拷，使出钱自赎，资物少者至于死徙。,后汉书
名近臣,拟补_待审,N,N,,,4,0,汉书,卷045.txt,充即移書光祿勳中黃門，逮名近臣侍中諸當詣北軍者，移劾門衛，禁止無令得出入宮殿。,汉书
后拜,拟补_待审,N,N,,,4,0,后汉书,第七十八章:独行列传,后拜侍中，卒官。,后汉书
向栩,已在库,Y,Y,P0053,东汉,4,4,后汉书,卷8.txt,侍中向栩、張鈞坐言宦者，下獄死。,后汉书
周毖,已在库,Y,Y,P0056,东汉,4,4,三国志,卷06.txt,侍中周毖、城門校尉伍瓊、議郎何顒等，皆名士也，卓信之，而陰爲紹，乃說卓曰：「夫廢立大事，非常人所及。,三国志
和逌,已在库,Y,Y,P0060,魏,4,4,三国志,卷04.txt,侍中和逌、尚書陳騫等作詩稽留，有司奏免官，詔曰：「吾以暗昧，愛好文雅，廣延詩賦，以知得失，而乃爾紛紜，良用反仄。,三国志
复以资,拟补_待审,N,N,,,4,4,三国志,第十四章-程郭董刘蒋刘传.txt,曹爽诛后，复以资为侍中，领中书令。,三国志
复留为,拟补_待审,N,N,,,4,0,后汉书,第五十四章-蔡邕列传下.txt,迁巴郡太守，复留为侍中。,后汉书
大伯为,拟补_待审,N,N,,,4,0,汉书,卷019.txt,|侍中光祿大夫趙彪大伯為侍中水衡都尉，三年卒。,汉书
大司马,拟补_待审,N,N,,,4,0,汉书,卷099中.txt,大司馬甄邯死，寧始將軍孔永為大司馬，侍中大贅侯輔為寧始將軍。,汉书
太史令,拟补_待审,N,N,,,4,0,后汉书,卷82下.txt,舉孝廉，稍遷太史令，侍中。,后汉书
太后兄,拟补_待审,N,N,,,4,0,汉书,卷009.txt,三月，封皇太后兄侍中中郎將王舜為安平侯。,汉书
太后姊,拟补_待审,N,N,,,4,0,汉书,卷084.txt,後數年，皇太后姊子侍中衛尉定陵侯淳于長有罪，上以太后故，免官勿治罪。,汉书
子举为,拟补_待审,N,N,,,4,0,后汉书,第十一章-皇后纪上.txt,永元初，璜为长乐少府，子举为侍中，兼射声校尉。,后汉书
子二人,拟补_待审,N,N,,,4,0,汉书,卷099下.txt,封皇后父諶為和平侯，拜為寧始將軍，諶子二人皆侍中。,汉书
子伋为,拟补_待审,N,N,,,4,0,汉书,第四十二章-傅常郑甘陈段传.txt,后皇太后同母弟苟参为水衡都尉，死，子伋为侍中，参妻欲为伋求封，汤受其金五十斤，许为求比上奏。,汉书
子寻为,拟补_待审,N,N,,,4,0,汉书,第七十六章-王莽传中.txt,时子寻为侍中京兆大君茂德侯，即作符命，言新室当分陕，立二伯，以丰为右伯，太傅平晏为左伯，如周、召故事。,汉书
子尋为,拟补_待审,N,N,,,4,0,汉书,卷099中.txt,時子尋為侍中京兆大尹茂德侯，即作符命，言新室當分陝，立二伯，以豐為右伯，太傅平晏為左伯，如周召故事。,汉书
子雖为,拟补_待审,N,N,,,4,0,三国志,卷29.txt,平子雖為侍中，馬先生雖給事省中，俱不典工官，巧無益於世。,三国志
孙邕,已在库,Y,Y,P0067,魏,4,2,三国志,卷11.txt,）【正始二年】，太僕陶丘一、永寧衞尉孟觀、侍中孫邕、中書侍郎王基薦寧曰：{{quote|臣聞龍鳳隱耀，應德而臻，明哲潛遁，俟時而動。,三国志
宣帝时,拟补_待审,N,N,,,4,0,汉书,卷093.txt,宣帝時，侍中中郎將張彭祖少與帝微時同席研書，及帝即尊位，彭祖以舊恩封陽都侯，出常參乘，號爲愛幸。,汉书
宣意,拟补_待审,N,N,,,4,4,三国志,卷11.txt,上使侍中宣意曰：『君守平原日淺，故復試君三輔，非有所閒也。,三国志
