cand_row,book,juan,sentence,person,status,note
1722,漢書,099,是日，封拜卿大夫、侍中、尚書官凡數百人。,,待审,
1723,漢書,099,時子尋為侍中京兆大尹茂德侯，即作符命，言新室當分陝，立二伯，以豐為右伯，太傅平晏為左伯，如周召故事。,,待审,
1726,漢書,099,又置師友祭酒及侍中、諫議、六經祭酒各一人，凡九祭酒，秩上卿。,,待审,
1735,漢書,100上,」是時許商為少府，師丹為光祿勳，上於是引商、丹入為光祿大夫，伯遷水衡都尉，與兩師並侍中，皆秩中二千石。,,待审,
145,後漢書,第一章:刘玄刘盆子列传,萌私忿侍中，引下斩之，更始救请，不从。,,待审,
148,後漢書,第一章:刘玄刘盆子列传,以明经数言事，拜侍中，从更始在长安。,,待审,
152,後漢書,第七十五章:儒林列传下,拜谏议大夫、侍中、右中郎将。,,待审,
153,後漢書,第七十五章:儒林列传下,永平初，为博士，再迁侍中。,,待审,
157,後漢書,第七十五章:儒林列传下,十八年，以病乞身，为侍中骑都尉，卒于官。,,待审,
158,後漢書,第七十五章:儒林列传下,”十八年，拜侍中骑都尉。,,待审,
159,後漢書,第七十五章:儒林列传下,永平初，为侍中、越骑校尉，入讲省内。,,待审,
160,後漢書,第七十五章:儒林列传下,岁余复征，再迁侍中，卒于官。,,待审,
161,後漢書,第七十五章:儒林列传下,迁侍中，出为弘农太守，卒官。,,待审,
162,後漢書,第七十八章:独行列传,后拜侍中，卒官。,,待审,
163,後漢書,第七十八章:独行列传,充迁侍中。,,待审,
164,後漢書,第七十八章:独行列传,征拜侍中，每朝廷大事，侃然正色，百官惮之。,,待审,
166,後漢書,第七十六章:文苑列传上,永宁元年，太后又诏珍与B05A駼作建武已来名臣传，迁侍中、越骑校尉。,,待审,
167,後漢書,第七十六章:文苑列传上,顺帝时，为侍中。,,待审,
168,後漢書,第七十四章:儒林列传上,征拜议郎，稍迁侍中、弘农太守。,,待审,
169,後漢書,第七十四章:儒林列传上,永平初，迁侍中祭酒。,,待审,
170,後漢書,第七十四章:儒林列传上,帝善之，拜为侍中，数进见问得失。,,待审,
172,後漢書,第七十四章:儒林列传上,”帝即敕尚书解遵禁锢，拜凭虎贲中郎将，以侍中兼领之。,,待审,
174,後漢書,第七十四章:儒林列传上,顺帝以登明识礼乐，使持节临太学，奏定曲律，转拜侍中。,,待审,
175,後漢書,第七十四章:儒林列传上,擢拜侍中，典领秘书近署，甚见纳异。,,待审,
176,後漢書,第七十四章:儒林列传上,服阕，征拜侍中。,,待审,
177,後漢書,第七章:冯岑贾列传,少为侍中、虎贲中郎将，朝廷多称其能。,,待审,
178,後漢書,第七章:冯岑贾列传,时邓太后临朝，光宠最盛，以建为侍中，顺帝时为光禄勋。,,待审,
179,後漢書,第三十一章:刘赵淳于江刘周赵列传,建光中，公车特征，至，拜侍中。,,待审,
180,後漢書,第三十一章:刘赵淳于江刘周赵列传,平再迁侍中，永平三年，拜宗正，数荐达名士承宫、郇恁等。,,待审,
181,後漢書,第三十一章:刘赵淳于江刘周赵列传,永平中，辟太尉府，显宗素闻其行，诏拜谏议大夫，迁侍中，又迁长乐卫尉。,,待审,
182,後漢書,第三十一章:刘赵淳于江刘周赵列传,引见极日，访以政事，迁侍中骑都尉，礼待甚优。,,待审,
185,後漢書,第三十一章:刘赵淳于江刘周赵列传,”乃征恺，拜为郎，稍迁侍中。,,待审,
186,後漢書,第三十一章:刘赵淳于江刘周赵列传,复拜侍中，迁长水校尉。,,待审,
187,後漢書,第三十九章:郭陈列传,郭氏自弘后，数世皆传法律，子孙至公者一人，廷尉七人，侯者三人，刺史、二千石、侍中、中郎将者二十余人，侍御史、正、监、平者甚众。,,待审,
189,後漢書,第三十九章:郭陈列传,书御，有诏拜有道高第士沛国施延为侍中，延后位至太尉。,,待审,
190,後漢書,第三十八章:袁张韩周列传,初拜郎中，稍迁侍中，出为蜀郡太守。,,待审,
191,後漢書,第三十八章:袁张韩周列传,和帝时，历位将军、大夫、侍中，出为东郡太守，征拜太仆、光禄勋。,,待审,
192,後漢書,第三十八章:袁张韩周列传,及肃宗即位，擢D825为侍中、虎贲中郎将。,,待审,
194,後漢書,第三十六章:朱乐何列传,后穆因进见，口复陈曰：“臣闻汉家旧典，置侍中、中常侍各一人，省尚书事，黄门侍郎一人，传发书奏，皆用姓族。,,待审,
198,後漢書,第九章:耿弇列传,大贵人数为耿氏请，阳嘉三年，顺帝遂绍封宝子箕牟平侯，为侍中。,,待审,
199,後漢書,第二十一章:苏竟杨厚列传上,拜侍中，数月，以病免。,,待审,
200,後漢書,第二十一章:苏竟杨厚列传上,时统为侍中，厚随在京师。,,待审,
201,後漢書,第二十一章:苏竟杨厚列传上,及至，拜议郎，三迁为侍中，特蒙引见，访以时政。,,待审,
206,後漢書,第二十七章:张曹郑列传,拜褒侍中，从驾南巡，既还，以事下三公，未及奏，诏召玄武司马班固，问改定礼制之宜。,,待审,
207,後漢書,第二十七章:张曹郑列传,有顷征，再迁，复为侍中。,,待审,
210,後漢書,第二十九章:桓荣丁鸿列传,帝以郁先师子，有礼让，甚见亲厚，常居中论经书，问以政事，稍迁侍中。,,待审,
211,後漢書,第二十九章:桓荣丁鸿列传,帝自制《五家要说章句》，令郁校定于宣明殿，以侍中监虎贲中郎将。,,待审,
212,後漢書,第二十九章:桓荣丁鸿列传,肃宗即位，郁以母忧乞身，诏听以侍中行服。,,待审,
214,後漢書,第二十九章:桓荣丁鸿列传,顷之，转为侍中奉车都尉。,,待审,
215,後漢書,第二十九章:桓荣丁鸿列传,永初元年，入授安帝，三迁为侍中步兵校尉。,,待审,
216,後漢書,第二十九章:桓荣丁鸿列传,顷之，拜侍中。,,待审,
218,後漢書,第二十五章:朱冯虞郑周列传,尚显宗女获嘉长公主，少为侍中，以恭肃谦约称，位至将作大匠。,,待审,
219,後漢書,第二十五章:朱冯虞郑周列传,定弟石，袭母公主封获嘉侯，亦为侍中，稍迁卫尉。,,待审,
220,後漢書,第二十五章:朱冯虞郑周列传,出为平原相，征拜侍中。,,待审,
223,後漢書,第二十八章:郑范陈贾张列传,八年，复为侍中，领骑都尉。,,待审,
224,後漢書,第二十八章:郑范陈贾张列传,位至侍中，以老病乞身，帝赐以大夫禄，归乡里。,,待审,
225,後漢書,第二十八章:郑范陈贾张列传,后征，四迁为侍中。,,待审,
226,後漢書,第二十六章:梁统列传,棠卒，子安国嗣，延光中为侍中，有罪免官，诸梁为郎吏者皆坐免。,,待审,
227,後漢書,第二十六章:梁统列传,三年，顺帝选商女及妹入掖庭，迁侍中、屯骑校尉。,,待审,
