person,cand_row,book,juan,sentence,source_file,alias_in_sentence
刘劭,55,三國志,第二十一章:王卫二刘傅传,文帝即王位，为侍中，赐爵关内侯。,data/raw/mirror/三國志/魏书/第二十一章-王卫二刘傅传.txt,
刘劭,695,三國志,21,文帝即王位，爲侍中，賜爵關內侯。,data/raw/三國志/卷21.txt,
杜袭,59,三國志,第二十三章:和常杨杜赵裴传,魏国既建，为侍中，与王粲、和洽并用。,data/raw/mirror/三國志/魏书/第二十三章-和常杨杜赵裴传.txt,
朱建平,61,三國志,第二十九章:方技传,璩六十一为侍中，直省内，欻见白狗，问之众人，悉无见者。,data/raw/mirror/三國志/魏书/第二十九章-方技传.txt,
朱建平,733,三國志,29,平子雖為侍中，馬先生雖給事省中，俱不典工官，巧無益於世。,data/raw/三國志/卷29.txt,
朱建平,734,三國志,29,璩六十一為侍中，直省內，欻見白狗，問之眾人，悉無見者。,data/raw/三國志/卷29.txt,
陈群,63,三國志,第二十二章:桓二陈徐卫卢传,文帝践阼，迁尚书令，封高乡亭侯，加侍中。,data/raw/mirror/三國志/魏书/第二十二章-桓二陈徐卫卢传.txt,
徐宣,67,三國志,第二十二章:桓二陈徐卫卢传,加侍中光禄大夫，迁司徒。,data/raw/mirror/三國志/魏书/第二十二章-桓二陈徐卫卢传.txt,
卫臻,68,三國志,第二十二章:桓二陈徐卫卢传,“帝遂以宣为左仆射，后加侍中光禄大夫。,data/raw/mirror/三國志/魏书/第二十二章-桓二陈徐卫卢传.txt,
卫臻,70,三國志,第二十二章:桓二陈徐卫卢传,明帝即位，进封康乡侯，后转为右仆射，典选举，如前加侍中。,data/raw/mirror/三國志/魏书/第二十二章-桓二陈徐卫卢传.txt,
元常,86,三國志,第十三章:钟繇华歆王朗传,拜御史中丞，迁侍中尚书仆射，并录前功封东武亭侯。,data/raw/mirror/三國志/魏书/第十三章-钟繇华歆王朗传.txt,
元常,87,三國志,第十三章:钟繇华歆王朗传,乃表繇以侍中守司隶校尉，持节督关中诸军，委之以后事，特使不拘科制。,data/raw/mirror/三國志/魏书/第十三章-钟繇华歆王朗传.txt,
贾逵,96,三國志,第十五章:刘司马梁张温贾传,文帝践阼，以恢为侍中，出为魏郡太守。,data/raw/mirror/三國志/魏书/第十五章-刘司马梁张温贾传.txt,
贾逵,677,三國志,15,文帝践阼，以恢爲侍中，出爲魏郡太守。,data/raw/三國志/卷15.txt,
金禕,578,三國志,01,紀字季行，少有美名，爲丞相掾，王甚敬異之，遷侍中，守少府。,data/raw/三國志/卷01.txt,
郭皇后,608,三國志,05,世祖以此望德，由此出德為大鴻臚，加侍中、光祿大夫，尋疾薨，贈中軍大將軍，開府侍中如故，諡恭公，子喜嗣。,data/raw/三國志/卷05.txt,
