id,name,dynasty_primary,category,is_外戚,is_士人,is_降人,is_佞幸,is_宦官,is_勋贵,n_terms,n_sources,status
P0231,阴兴,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0232,阴统,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0233,阴识,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0234,陈俊,东汉,勋贵,0,0,0,0,0,0,1,1,已校
P0235,陈光,东汉,士人,0,0,0,0,0,0,1,0,已校
P0236,陈泰,魏,士人,0,0,0,0,0,0,1,1,已校
P0237,陈球,东汉,士人,0,0,0,0,0,0,1,1,已校
P0238,陈矫,魏,士人,0,0,0,0,0,0,1,0,已校
P0239,陈祗,蜀汉,其他,0,0,0,0,0,0,1,1,已校
P0240,陈群,汉魏之际,士人,0,0,0,0,0,0,1,1,已校
P0241,陈翔,东汉,士人,0,0,0,0,0,0,1,0,已校
P0242,霍光,西汉,外戚/勋贵,0,0,0,0,0,0,1,1,已校
P0243,霍去病,西汉,外戚/勋贵,0,0,0,0,0,0,1,1,已校
P0244,霍嬗,西汉,外戚/勋贵,0,0,0,0,0,0,1,1,已校
P0245,霍山,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0246,霍禹,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0247,韩增,西汉,勋贵,0,0,0,0,0,0,1,1,已校
P0248,韩嵩,东汉,士人,0,0,0,0,0,0,1,1,已校
P0249,韩说,东汉,士人,0,0,0,0,0,0,1,1,已校
P0250,顾雍,吴,士人,0,0,0,0,0,0,1,1,已校
P0251,马何罗,西汉,阙,0,0,0,0,0,0,1,1,已校
P0252,马宇,东汉,士人,0,0,0,0,0,0,1,1,已校
P0253,马康,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0254,马武,东汉,勋贵,0,0,0,0,0,0,1,1,已校
P0255,马良,蜀汉,士人,0,0,0,0,0,0,1,1,已校
P0256,高堂隆,魏,士人,0,0,0,0,0,0,1,1,已校
P0257,魏应,东汉,士人,0,0,0,0,0,0,1,1,已校
P0258,鲍勋,魏,士人,0,0,0,0,0,0,1,1,已校
P0259,黄权,蜀汉_魏,士人,0,0,0,0,0,0,1,1,已校
